"Date","Price"
"25-03-2019",424.15
"26-03-2019",466.65
"27-03-2019",466.65
"28-03-2019",424.15
"29-03-2019",381.65
"30-03-2019",415.65
"31-03-2019",381.65
"01-04-2019",628.15
"02-04-2019",466.65
"03-04-2019",466.65
"04-04-2019",628.15
"05-04-2019",381.65
"06-04-2019",415.65
"07-04-2019",381.65
"08-04-2019",628.15
"09-04-2019",466.65
"10-04-2019",466.65
"11-04-2019",628.15
"12-04-2019",381.65
"13-04-2019",415.65
"14-04-2019",381.65
"15-04-2019",628.15
"16-04-2019",466.65
"17-04-2019",466.65
"18-04-2019",628.15
"19-04-2019",381.65
"20-04-2019",415.65
"21-04-2019",381.65
"22-04-2019",628.15
"23-04-2019",466.65
"24-04-2019",466.65
"25-04-2019",628.15
"26-04-2019",381.65
"27-04-2019",415.65
"28-04-2019",381.65
"29-04-2019",665.1
"30-04-2019",494.1
"01-05-2019",530.1
"02-05-2019",494.1
"03-05-2019",404.1
"04-05-2019",440.1
"05-05-2019",404.1
"06-05-2019",494.1
"07-05-2019",530.1
"08-05-2019",530.1
"09-05-2019",494.1
"10-05-2019",404.1
"11-05-2019",440.1
"12-05-2019",404.1
"13-05-2019",494.1
"14-05-2019",530.1
"15-05-2019",530.1
"16-05-2019",494.1
"17-05-2019",404.1
"18-05-2019",440.1
"19-05-2019",404.1
"20-05-2019",494.1
"21-05-2019",530.1
"22-05-2019",530.1
"23-05-2019",494.1
"24-05-2019",404.1
"25-05-2019",440.1
"26-05-2019",404.1
"27-05-2019",494.1
"28-05-2019",530.1
"29-05-2019",530.1
"30-05-2019",494.1
"31-05-2019",404.1
"01-06-2019",440.1
"02-06-2019",404.1
"03-06-2019",494.1
"04-06-2019",530.1
"05-06-2019",530.1
